Institution,Spatial Jurisdiction (verbatim),Keywords Extracted (Cleaned & No Stopwords),Keyword Frequency,KWIC Evidence (keywords→snippet),Consolidated Meaningful Keywords,Keywords→Candidate Categories (pre-decision),Keywords→Category Map (flat),Consolidated Keywords→Category Trigger Map,Mapping Rationale (keyword→category + method),Ordinal Score (0–10),Methodological Notes
Intergovernmental Oceanographic Commission (IOC),"IOC jurisdiction is global delineated by the boundaries of member states’ exclusive economic zones (EEZs), territorial seas, and  extending to the limits of their recognized jurisdiction, whether it be 200 nautical miles for EEZs  (https://www.ioc.unesco.org/en). ","ioc, jurisdiction, global, delineated, boundaries, member, states, exclusive, economic, zones, eezs, territorial, seas, extending, limits, recognized, jurisdiction, whether, 200, nautical, miles, eezs","{'ioc': 1, 'jurisdiction': 2, 'global': 1, 'delineated': 1, 'boundaries': 1, 'member': 1, 'states': 1, 'exclusive': 1, 'economic': 1, 'zones': 1, 'eezs': 2, 'territorial': 1, 'seas': 1, 'extending': 1, 'limits': 1, 'recognized': 1, 'whether': 1, '200': 1, 'nautical': 1, 'miles': 1}","territorial sea: tates’ exclusive economic zones (EEZs), **territorial sea**s, and  extending to the limits of their; exclusive economic zone: ted by the boundaries of member states’ **exclusive economic zone**s (EEZs), territorial seas, and  extendi; eez: ember states’ exclusive economic zones (**EEZ**s), territorial seas, and  extending to","200, boundaries, delineated, economic, eezs, exclusive, extending, global, ioc, jurisdiction, limits, member, miles, nautical, recognized, seas, states, territorial, whether, zones","['Territorial Sea (TS)', 'Exclusive Economic Zone (EEZ)']",Territorial Sea (TS); Exclusive Economic Zone (EEZ),"{'Territorial Sea (TS)': ['territorial sea'], 'Exclusive Economic Zone (EEZ)': ['exclusive economic zone', 'eez']}","Territorial Sea (TS): matched territorial sea (string match + KWIC) | Exclusive Economic Zone (EEZ): matched exclusive economic zone, eez (string match + KWIC)",2,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
Food and Agriculture Organization of the United Nations (FAO),"The FAO’s jurisdiction spans a vast array of marine and inland waters, delineated by the boundaries of member states’ exclusive economic zones (EEZs), territorial seas, and inland waters. This includes all ocean spaces and maritime zones under the purview of each member state, extending to the limits of their recognized jurisdiction, whether it be 200 nautical miles for EEZs or other specified distances for territorial seas and inland waters (https://www.fao.org/cwp-on-fishery-statistics/handbook/general-concepts/main-water-areas/en/)","fao, jurisdiction, spans, vast, array, marine, inland, waters, delineated, boundaries, member, states, exclusive, economic, zones, eezs, territorial, seas, inland, waters, includes, all, ocean, spaces, maritime, zones, under, purview, each, member, state, extending, limits, recognized, jurisdiction, whether, 200, nautical, miles, eezs, specified, distances, territorial, seas, inland, waters","{'fao': 1, 'jurisdiction': 2, 'spans': 1, 'vast': 1, 'array': 1, 'marine': 1, 'inland': 3, 'waters': 3, 'delineated': 1, 'boundaries': 1, 'member': 2, 'states': 1, 'exclusive': 1, 'economic': 1, 'zones': 2, 'eezs': 2, 'territorial': 2, 'seas': 2, 'includes': 1, 'all': 1, 'ocean': 1, 'spaces': 1, 'maritime': 1, 'under': 1, 'purview': 1, 'each': 1, 'state': 1, 'extending': 1, 'limits': 1, 'recognized': 1, 'whether': 1, '200': 1, 'nautical': 1, 'miles': 1, 'specified': 1, 'distances': 1}","inland waters: iction spans a vast array of marine and **inland waters**, delineated by the boundaries of member; territorial sea: tates’ exclusive economic zones (EEZs), **territorial sea**s, and inland waters. This includes all; exclusive economic zone: ted by the boundaries of member states’ **exclusive economic zone**s (EEZs), territorial seas, and inland w; eez: ember states’ exclusive economic zones (**EEZ**s), territorial seas, and inland waters.","200, all, array, boundaries, delineated, distances, each, economic, eezs, exclusive, extending, fao, includes, inland, jurisdiction, limits, marine, maritime, member, miles, nautical, ocean, purview, recognized, seas, spaces, spans, specified, state, states, territorial, under, vast, waters, whether, zones","['Internal Waters (IW)', 'Territorial Sea (TS)', 'Exclusive Economic Zone (EEZ)']",Internal Waters (IW); Territorial Sea (TS); Exclusive Economic Zone (EEZ),"{'Internal Waters (IW)': ['inland waters'], 'Territorial Sea (TS)': ['territorial sea'], 'Exclusive Economic Zone (EEZ)': ['exclusive economic zone', 'eez']}","Internal Waters (IW): matched inland waters (string match + KWIC) | Territorial Sea (TS): matched territorial sea (string match + KWIC) | Exclusive Economic Zone (EEZ): matched exclusive economic zone, eez (string match + KWIC)",3,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,"The IMO’s authority spans a global geographical area, facilitating maritime cooperation and development across diverse regions. Its mandate covers member states’ territorial waters, extending to their exclusive economic zones (EEZs), typically up to 200 nautical miles from the baseline (https://www.imo.org/en/OurWork/TechnicalCooperation/Pages/Geo-Coverage.aspx#:~:text=Africa,Western%20Asia%20and%20Eastern%20Europe)","imo, authority, spans, global, geographical, area, facilitating, maritime, cooperation, development, diverse, regions, mandate, covers, member, states, territorial, waters, extending, exclusive, economic, zones, eezs, typically, 200, nautical, miles, baseline","{'imo': 1, 'authority': 1, 'spans': 1, 'global': 1, 'geographical': 1, 'area': 1, 'facilitating': 1, 'maritime': 1, 'cooperation': 1, 'development': 1, 'diverse': 1, 'regions': 1, 'mandate': 1, 'covers': 1, 'member': 1, 'states': 1, 'territorial': 1, 'waters': 1, 'extending': 1, 'exclusive': 1, 'economic': 1, 'zones': 1, 'eezs': 1, 'typically': 1, '200': 1, 'nautical': 1, 'miles': 1, 'baseline': 1}","territorial waters: ions. Its mandate covers member states’ **territorial waters**, extending to their exclusive economic; exclusive economic zone: territorial waters, extending to their **exclusive economic zone**s (EEZs), typically up to 200 nautical m; eez: ding to their exclusive economic zones (**EEZ**s), typically up to 200 nautical miles f","200, area, authority, baseline, cooperation, covers, development, diverse, economic, eezs, exclusive, extending, facilitating, geographical, global, imo, mandate, maritime, member, miles, nautical, regions, spans, states, territorial, typically, waters, zones","['Territorial Sea (TS)', 'Exclusive Economic Zone (EEZ)']",Territorial Sea (TS); Exclusive Economic Zone (EEZ),"{'Territorial Sea (TS)': ['territorial waters'], 'Exclusive Economic Zone (EEZ)': ['exclusive economic zone', 'eez']}","Territorial Sea (TS): matched territorial waters (string match + KWIC) | Exclusive Economic Zone (EEZ): matched exclusive economic zone, eez (string match + KWIC)",2,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
Division for Ocean Affairs and the Law of the Sea (UN DOALOS),"UN DALOS does not have authority over any specific ocean space. Rather, it provides legal and technical assistance to States and intergovernmental organizations on matters relating to ocean affairs and the law of the sea, and also supports the Commission on the Limits of the Continental Shelf, which examines submissions by coastal States on the outer limits of their continental shelf beyond 200 nautical miles from the baselines.","dalos, does, not, authority, over, any, specific, ocean, space, rather, provides, legal, technical, assistance, states, intergovernmental, organizations, matters, relating, ocean, affairs, law, sea, supports, commission, limits, continental, shelf, examines, submissions, coastal, states, outer, limits, continental, shelf, beyond, 200, nautical, miles, baselines","{'dalos': 1, 'does': 1, 'not': 1, 'authority': 1, 'over': 1, 'any': 1, 'specific': 1, 'ocean': 2, 'space': 1, 'rather': 1, 'provides': 1, 'legal': 1, 'technical': 1, 'assistance': 1, 'states': 2, 'intergovernmental': 1, 'organizations': 1, 'matters': 1, 'relating': 1, 'affairs': 1, 'law': 1, 'sea': 1, 'supports': 1, 'commission': 1, 'limits': 2, 'continental': 2, 'shelf': 2, 'examines': 1, 'submissions': 1, 'coastal': 1, 'outer': 1, 'beyond': 1, '200': 1, 'nautical': 1, 'miles': 1, 'baselines': 1}","continental shelf: rts the Commission on the Limits of the **Continental Shelf**, which examines submissions by coastal","200, affairs, any, assistance, authority, baselines, beyond, coastal, commission, continental, dalos, does, examines, intergovernmental, law, legal, limits, matters, miles, nautical, not, ocean, organizations, outer, over, provides, rather, relating, sea, shelf, space, specific, states, submissions, supports, technical",['Extended Continental Shelf (CS)'],Extended Continental Shelf (CS),{'Extended Continental Shelf (CS)': ['continental shelf']},Extended Continental Shelf (CS): matched continental shelf (string match + KWIC),1,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
Climate Change Secretariat,"The UNFCCC Secretariat operates globally, supporting the implementation of the UNFCCC and its related agreements across all countries. Its jurisdiction covers the entire atmosphere, as well as the land and ocean surfaces that are affected by or influence climate change.","unfccc, secretariat, operates, globally, supporting, implementation, unfccc, related, agreements, all, countries, jurisdiction, covers, entire, atmosphere, well, land, ocean, surfaces, affected, influence, climate, change","{'unfccc': 2, 'secretariat': 1, 'operates': 1, 'globally': 1, 'supporting': 1, 'implementation': 1, 'related': 1, 'agreements': 1, 'all': 1, 'countries': 1, 'jurisdiction': 1, 'covers': 1, 'entire': 1, 'atmosphere': 1, 'well': 1, 'land': 1, 'ocean': 1, 'surfaces': 1, 'affected': 1, 'influence': 1, 'climate': 1, 'change': 1}",,"affected, agreements, all, atmosphere, change, climate, countries, covers, entire, globally, implementation, influence, jurisdiction, land, ocean, operates, related, secretariat, supporting, surfaces, unfccc, well",[],,{},,0,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
International Seabed Authority,"The international seabed area – the part under ISA jurisdiction – is defined as “the seabed and ocean floor and the subsoil thereof, beyond the limits of national jurisdiction.” (https://www.isa.org.jm/exploration-contracts/exploration-areas/). This includes a vast expanse of ocean space, territory and maritime zones, covering about 50 per cent of the world’s oceans (https://www.un.org/depts/los/convention_agreements/texts/unclos/part11-4.htm).","international, seabed, area, part, under, isa, jurisdiction, defined, seabed, ocean, floor, subsoil, thereof, beyond, limits, national, jurisdiction, includes, vast, expanse, ocean, space, territory, maritime, zones, covering, about, cent, world, oceans","{'international': 1, 'seabed': 2, 'area': 1, 'part': 1, 'under': 1, 'isa': 1, 'jurisdiction': 2, 'defined': 1, 'ocean': 2, 'floor': 1, 'subsoil': 1, 'thereof': 1, 'beyond': 1, 'limits': 1, 'national': 1, 'includes': 1, 'vast': 1, 'expanse': 1, 'space': 1, 'territory': 1, 'maritime': 1, 'zones': 1, 'covering': 1, 'about': 1, 'cent': 1, 'world': 1, 'oceans': 1}",international seabed: The **international seabed** area – the part under ISA jurisdiction,"about, area, beyond, cent, covering, defined, expanse, floor, includes, international, isa, jurisdiction, limits, maritime, national, ocean, oceans, part, seabed, space, subsoil, territory, thereof, under, vast, world, zones",['The Area'],The Area,{'The Area': ['international seabed']},The Area: matched international seabed (string match + KWIC),1,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
United Nations Environment Programme (UNEP),"The UNEP Secretariat’s authority is global, covering the marine and coastal environment of all regions and subregions of the world (http://undocs.org/en/a/res/2997(XXVII).","unep, secretariat, authority, global, covering, marine, coastal, environment, all, regions, subregions, world","{'unep': 1, 'secretariat': 1, 'authority': 1, 'global': 1, 'covering': 1, 'marine': 1, 'coastal': 1, 'environment': 1, 'all': 1, 'regions': 1, 'subregions': 1, 'world': 1}",,"all, authority, coastal, covering, environment, global, marine, regions, secretariat, subregions, unep, world",[],,{},,0,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
United Nations Development Programme (UNDP),"UNDP's jurisdiction is global, operating in more than 170 countries and territories that cut across diverse political and economic zones with particular focus on low-income and middle-income nations and regions within Africa, Asia, Europe, Latin America, and the Caribbean (https://www.undp.org/). However, the UNDP does not have specific jurisdiction over oceans, maritime zones, or territorial waters. Its authority is not limited to exclusive economic or political zones, contiguous zones, territorial seas, or inland waters within state waters. Instead, its focus is on sustainable development across all territories of its member states.","undp, jurisdiction, global, operating, more, than, 170, countries, territories, cut, diverse, political, economic, zones, particular, focus, low, income, middle, income, nations, regions, africa, asia, europe, latin, america, caribbean, however, undp, does, not, specific, jurisdiction, over, oceans, maritime, zones, territorial, waters, authority, not, limited, exclusive, economic, political, zones, contiguous, zones, territorial, seas, inland, waters, state, waters, instead, focus, sustainable, development, all, territories, member, states","{'undp': 2, 'jurisdiction': 2, 'global': 1, 'operating': 1, 'more': 1, 'than': 1, '170': 1, 'countries': 1, 'territories': 2, 'cut': 1, 'diverse': 1, 'political': 2, 'economic': 2, 'zones': 4, 'particular': 1, 'focus': 2, 'low': 1, 'income': 2, 'middle': 1, 'nations': 1, 'regions': 1, 'africa': 1, 'asia': 1, 'europe': 1, 'latin': 1, 'america': 1, 'caribbean': 1, 'however': 1, 'does': 1, 'not': 2, 'specific': 1, 'over': 1, 'oceans': 1, 'maritime': 1, 'territorial': 2, 'waters': 3, 'authority': 1, 'limited': 1, 'exclusive': 1, 'contiguous': 1, 'seas': 1, 'inland': 1, 'state': 1, 'instead': 1, 'sustainable': 1, 'development': 1, 'all': 1, 'member': 1, 'states': 1}","inland waters: contiguous zones, territorial seas, or **inland waters** within state waters. Instead, its focus; territorial sea: c or political zones, contiguous zones, **territorial sea**s, or inland waters within state waters.; territorial waters: diction over oceans, maritime zones, or **territorial waters**. Its authority is not limited to exclus; contiguous zone: exclusive economic or political zones, **contiguous zone**s, territorial seas, or inland waters wi","170, africa, all, america, asia, authority, caribbean, contiguous, countries, cut, development, diverse, does, economic, europe, exclusive, focus, global, however, income, inland, instead, jurisdiction, latin, limited, low, maritime, member, middle, more, nations, not, oceans, operating, over, particular, political, regions, seas, specific, state, states, sustainable, territorial, territories, than, undp, waters, zones","['Internal Waters (IW)', 'Territorial Sea (TS)', 'Contiguous Zone (CZ)']",Internal Waters (IW); Territorial Sea (TS); Contiguous Zone (CZ),"{'Internal Waters (IW)': ['inland waters'], 'Territorial Sea (TS)': ['territorial sea', 'territorial waters'], 'Contiguous Zone (CZ)': ['contiguous zone']}","Internal Waters (IW): matched inland waters (string match + KWIC) | Territorial Sea (TS): matched territorial sea, territorial waters (string match + KWIC) | Contiguous Zone (CZ): matched contiguous zone (string match + KWIC)",3,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
United Nations Conference on Trade and Development (UNCTAD),"The UNCTAD Secretariat’s authority is not limited to a specific geographical area, but rather covers the entire field of trade and related problems of economic development, as stated in paragraph 3 (a) of the UNGA Resolution A/RES/1995(XIX) (https://digitallibrary.un.org/record/203700/files/A_RES_1995%28XIX%29-ES.pdf?ln=en)","unctad, secretariat, authority, not, limited, specific, geographical, area, but, rather, covers, entire, field, trade, related, problems, economic, development, stated, paragraph, unga, resolution, res, 1995, xix","{'unctad': 1, 'secretariat': 1, 'authority': 1, 'not': 1, 'limited': 1, 'specific': 1, 'geographical': 1, 'area': 1, 'but': 1, 'rather': 1, 'covers': 1, 'entire': 1, 'field': 1, 'trade': 1, 'related': 1, 'problems': 1, 'economic': 1, 'development': 1, 'stated': 1, 'paragraph': 1, 'unga': 1, 'resolution': 1, 'res': 1, '1995': 1, 'xix': 1}",,"1995, area, authority, but, covers, development, economic, entire, field, geographical, limited, not, paragraph, problems, rather, related, res, resolution, secretariat, specific, stated, trade, unctad, unga, xix",[],,{},,0,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
"United Nations Industrial Development Organization (UNIDO),","UNIDO’s jurisdiction is global, encompassing the industrial development of its member states and regions. This includes a focus on developing countries and countries with economies in transition, with authority extending to the promotion and acceleration of industrial cooperation among these states, covering key sectors and technologies (https://www.unido.org/sites/default/files/files/2020-11/19-12162_UNIDO_Constitution_ebook.pdf).","unido, jurisdiction, global, encompassing, industrial, development, member, states, regions, includes, focus, developing, countries, countries, economies, transition, authority, extending, promotion, acceleration, industrial, cooperation, states, covering, key, sectors, technologies","{'unido': 1, 'jurisdiction': 1, 'global': 1, 'encompassing': 1, 'industrial': 2, 'development': 1, 'member': 1, 'states': 2, 'regions': 1, 'includes': 1, 'focus': 1, 'developing': 1, 'countries': 2, 'economies': 1, 'transition': 1, 'authority': 1, 'extending': 1, 'promotion': 1, 'acceleration': 1, 'cooperation': 1, 'covering': 1, 'key': 1, 'sectors': 1, 'technologies': 1}",,"acceleration, authority, cooperation, countries, covering, developing, development, economies, encompassing, extending, focus, global, includes, industrial, jurisdiction, key, member, promotion, regions, sectors, states, technologies, transition, unido",[],,{},,0,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
